Week,Average_Price_USD,Discount_Depth_Pct,Digital_Ads_Spend_USD,Instore_Event_Flag,Weekly_Sales_Units
W01,31.95,0.072,13670,0,18805
W02,31.06,0.148,14330,0,20054
W03,26.89,0.099,9680,1,18053
W04,30.05,0.113,10760,0,17274
W05,28.83,0.125,15250,0,22253
W06,27.20,0.175,10240,0,17075
W07,29.83,0.172,14130,0,20939
W08,30.97,0.153,14130,0,18920
W09,30.01,0.168,9610,1,18156
W10,26.42,0.102,16140,0,23808
W11,26.67,0.100,12570,1,20080
W12,30.45,0.099,12110,0,16931
W13,26.80,0.094,11590,0,18832
W14,29.29,0.120,12890,0,19428
W15,30.47,0.123,16500,0,22637
W16,28.08,0.093,11510,0,14914
W17,26.40,0.128,10480,1,18230
W18,30.59,0.194,14080,0,20028
W19,27.18,0.182,13920,0,20583
W20,28.67,0.116,15460,0,20855
W21,31.37,0.105,10560,0,13818
W22,27.65,0.104,9710,0,14778
W23,29.69,0.160,15990,1,24360
W24,27.46,0.176,17110,0,24577
W25,27.79,0.079,17650,0,23587
W26,31.82,0.078,11590,0,14809
W27,26.45,0.158,16970,0,24832
W28,31.04,0.056,17020,1,22109
W29,27.62,0.123,12860,0,18946
W30,28.59,0.116,9030,1,16227
W31,29.95,0.180,9610,1,18379
W32,31.88,0.106,9560,0,12996
