month,channel,segment,sessions,conversions
2024-01,Search,Standard,1661,39
2024-01,Search,Premium,1124,35
2024-02,Search,Standard,2138,51
2024-02,Search,Premium,759,23
2024-03,Search,Standard,1555,36
2024-03,Search,Premium,1286,40
2024-04,Search,Standard,2024,45
2024-04,Search,Premium,546,17
2024-05,Search,Standard,1151,28
2024-05,Search,Premium,995,31
2024-06,Search,Standard,1201,27
2024-06,Search,Premium,694,22
2024-01,Social,Standard,2045,47
2024-01,Social,Premium,1133,45
2024-02,Social,Standard,1121,27
2024-02,Social,Premium,1147,48
2024-03,Social,Standard,1639,37
2024-03,Social,Premium,1119,46
2024-04,Social,Standard,1051,24
2024-04,Social,Premium,1274,51
2024-05,Social,Standard,927,23
2024-05,Social,Premium,613,25
2024-06,Social,Standard,1318,32
2024-06,Social,Premium,1187,47
2024-01,Email,Standard,1426,36
2024-01,Email,Premium,1307,47
2024-02,Email,Standard,1847,47
2024-02,Email,Premium,828,31
2024-03,Email,Standard,1869,47
2024-03,Email,Premium,733,28
2024-04,Email,Standard,853,20
2024-04,Email,Premium,1202,43
2024-05,Email,Standard,1631,43
2024-05,Email,Premium,1211,44
2024-06,Email,Standard,1846,44
2024-06,Email,Premium,840,32
2024-01,Affiliate,Standard,1722,22
2024-01,Affiliate,Premium,1186,49
2024-02,Affiliate,Standard,838,11
2024-02,Affiliate,Premium,541,22
2024-03,Affiliate,Standard,1978,26
2024-03,Affiliate,Premium,1373,54
2024-04,Affiliate,Standard,1344,17
2024-04,Affiliate,Premium,587,23
2024-05,Affiliate,Standard,1998,24
2024-05,Affiliate,Premium,1276,54
2024-06,Affiliate,Standard,1874,27
2024-06,Affiliate,Premium,894,37
2024-01,Display,Standard,803,16
2024-01,Display,Premium,940,28
2024-02,Display,Standard,1589,30
2024-02,Display,Premium,1091,33
2024-03,Display,Standard,1188,23
2024-03,Display,Premium,726,22
2024-04,Display,Standard,1503,29
2024-04,Display,Premium,652,20
2024-05,Display,Standard,1976,37
2024-05,Display,Premium,1005,31
2024-06,Display,Standard,1061,21
2024-06,Display,Premium,1441,45
