store_id,latitude,longitude,daily_customers
ST-001,40.766434,-73.926986,186
ST-002,40.787074,-73.918251,340
ST-003,40.755529,-73.973707,297
ST-004,40.733080,-73.932737,243
ST-005,40.770350,-73.968741,282
ST-006,40.736781,-73.942709,260
ST-007,40.805539,-73.996627,261
ST-008,40.809917,-73.971756,299
ST-009,40.744765,-73.984861,337
ST-010,40.769830,-73.936768,197
ST-011,40.755498,-73.924687,299
ST-012,40.764349,-73.932807,303
ST-013,40.790459,-73.934559,203
ST-014,40.782803,-73.967981,331
ST-015,40.743683,-74.000119,210
ST-016,40.807583,-73.966864,348
ST-017,40.738900,-73.966506,203
ST-018,40.748250,-73.980006,343
ST-019,40.747225,-73.924074,307
ST-020,40.725419,-73.977217,223
ST-021,40.739313,-73.971701,207
ST-022,40.752680,-73.927283,324
ST-023,40.805581,-73.944583,324
ST-024,40.801846,-73.994848,320
ST-025,40.811999,-73.925192,341
ST-026,40.785448,-73.940395,308
ST-027,40.757131,-73.945653,290
ST-028,40.739746,-73.994467,334
ST-029,40.753466,-73.998479,358
ST-030,40.809320,-73.977811,386
ST-031,40.794931,-73.943323,383
ST-032,40.747799,-73.996740,264
ST-033,40.755211,-73.945560,367
ST-034,40.728919,-74.001558,400
ST-035,40.777909,-73.918667,306
ST-036,40.722919,-73.943292,311
